,raw,clean,lemmas,color,gender,keywords
93,Lyc White Casual Boots,lyc white casual boots,lyc white casual boot,['white'],[],white casual casual boot lyc white 
94,Myra Comfortable Boots,myra comfortable boots,myra comfortable boot,[],[],myra comfortable boot myra comfortable 
95,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",calibro sw125 analogdigital watch   for men boys,calibro sw125 analogdigital watch for men boy,[],['boy'],men boy analogdigital watch calibro 
96,Get Glamr Designer Uggy Boots,get glamr designer uggy boots,get glamr designer uggy boot,[],[],designer uggy glamr designer uggy boot 
97,Rochees RW50 Analog Watch  - For Boys,rochees rw50 analog watch   for boys,rochees rw50 analog watch for boy,[],['boy'],analog analog watch rochees 
98,Salt N Pepper 13-516 Greta Red Boots,salt n pepper 13516 greta red boots,salt n pepper 13516 greta red boot,['red'],[],salt red boot greta red 
99,Fluid DMF-002-GR01 Digital Watch  - For Boys,fluid dmf002gr01 digital watch   for boys,fluid dmf002gr01 digital watch for boy,[],['boy'],digital digital watch fluid 
100,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",rorlig rr030 essentials analog watch   for men boys,rorlig rr030 essential analog watch for men boy,[],['boy'],men boy essential analog rorlig 
101,Wrangler Regular Fit Men's Jeans,wrangler regular fit mens jeans,wrangler regular fit men jean,[],[],regular fit men jean wrangler regular 
102,"Disney DW100230 Digital Watch  - For Boys, Girls",disney dw100230 digital watch   for boys girls,disney dw100230 digital watch for boy girl,[],"['girl', 'boy']",boy girl digital watch disney 
103,Salt N Pepper 13-167 Marsha Red Boots,salt n pepper 13167 marsha red boots,salt n pepper 13167 marsha red boot,['red'],[],salt red boot marsha red 
104,"Cartier W6701005 Analog Watch  - For Boys, Men",cartier w6701005 analog watch   for boys men,cartier w6701005 analog watch for boy men,[],['boy'],boy men analog watch cartier 
105,Bruno Manetti Cannelita Boots,bruno manetti cannelita boots,bruno manetti cannelita boot,[],[],manetti cannelita cannelita boot bruno manetti 
106,Stylistry Maxis Shde6603brwoboot3104 Boots,stylistry maxis shde6603brwoboot3104 boots,stylistry maxi shde6603brwoboot3104 boot,[],[],stylistry boot stylistry maxi 
107,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",lois caron lcs4032 analog watch   for boys men,lois caron lcs4032 analog watch for boy men,[],['boy'],boy men analog watch lois caron 
108,"Felix Y 39 Analog Watch  - For Boys, Men",felix y 39 analog watch   for boys men,felix y 39 analog watch for boy men,[],['boy'],felix boy men analog watch 
109,Kielz Boots,kielz boots,kielz boot,[],[],boot kielz kielz boot 
110,Sakay Country Leather Boots,sakay country leather boots,sakay country leather boot,[],[],country leather leather boot sakay country 
111,La Briza Black Boots,la briza black boots,la briza black boot,['black'],[],boot briza black black boot 
112,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",kool kidz dmk012qu02 analog watch   for girls boys,kool kidz dmk012qu02 analog watch for girl boy,[],"['girl', 'boy']",girl boy analog watch kool kidz 
113,"Franck Bella FB0128B Analog Watch  - For Men, Boys",franck bella fb0128b analog watch   for men boys,franck bella fb0128b analog watch for men boy,[],['boy'],men boy analog watch franck bella 
114,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",kool kidz dmk003yl 03 analog watch   for girls boys,kool kidz dmk003yl 03 analog watch for girl boy,[],"['girl', 'boy']",girl boy analog watch kool kidz 
115,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",vizion 85026black sports series digital watch   for boys girls,vizion 85026black sport series digital watch for boy girl,[],"['girl', 'boy']",boy girl sport series vizion 
116,Vencer Stella 7lyt1011 Digital Watch  - For Boys,vencer stella 7lyt1011 digital watch   for boys,vencer stella 7lyt1011 digital watch for boy,[],['boy'],vencer digital watch vencer stella 
117,La Briza Mile Boots,la briza mile boots,la briza mile boot,[],[],boot briza mile mile boot 
118,"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",casela casw13 basic analog watch   for boys girls,casela casw13 basic analog watch for boy girl,[],"['girl', 'boy']",boy girl basic analog casela 
119,Sneha Unique Boots,sneha unique boots,sneha unique boot,[],[],sneha unique boot sneha unique 
120,Timer TC_-_690143 Analog Watch  - For Boys,timer tc690143 analog watch   for boys,timer tc690143 analog watch for boy,[],['boy'],analog analog watch timer 
121,NE Regular Fit Men's Jeans,ne regular fit mens jeans,ne regular fit men jean,[],[],fit men regular fit men jean 
122,"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",colat colatm08 roman numerals analog watch   for men boys,colat colatm08 roman numeral analog watch for men boy,[],['boy'],men boy roman numeral colat 
123,Belle Gambe Boots,belle gambe boots,belle gambe boot,[],[],belle gambe boot belle gambe 
124,"Titan 1639SL03 Analog Watch  - For Boys, Men",titan 1639sl03 analog watch   for boys men,titan 1639sl03 analog watch for boy men,[],['boy'],boy men analog watch titan 
125,Selfie Boots,selfie boots,selfie boot,[],[],boot selfie selfie boot 
126,Clincher Semonday Boots,clincher semonday boots,clincher semonday boot,[],[],clincher semonday boot clincher semonday 
127,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",srushti art jewelry megnetledsportblackred1 digital watch   for men women boys girls,srushti art jewelry megnetledsportblackred1 digital watch for men woman boy girl,[],"['girl', 'boy', 'woman']",digital watch art jewelry srushti art 
128,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",qq vq13008 analog watch   for girls boys,qq vq13008 analog watch for girl boy,[],"['girl', 'boy']",analog girl boy analog watch 
129,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",escort e1700906blk analog watch   for men boys,escort e1700906blk analog watch for men boy,[],['boy'],men boy analog watch escort 
130,Roxy Boots,roxy boots,roxy boot,[],[],boot roxy roxy boot 
131,Lee Men's Jeans,lee mens jeans,lee men jean,[],[],lee men jean lee men 
132,Bruno Manetti 676 Boots,bruno manetti 676 boots,bruno manetti 676 boot,[],[],bruno boot bruno manetti 
